property_type_location,Property,price,relative_url,property_status,last_updated,num_bedrooms,num_bathrooms,num_parking,area,furnishing,counting,scraped_date
Condominium • Makati,"Amorsolo Square Tower, Amorsolo West, Rockwell Center, Makati","Php 19,500,000",https://www.hoppler.com.ph/makati-rockwell-center-amorsolo-west-rs4594981,Available,"July 22, 2022",1,1,1,75 sqm,,295,2024-10-26
Condominium • Makati,"Tower D, Jazz Residences, Bel-Air Village, Makati","Php 6,500,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs4471481,Available,"July 25, 2022",2,1,2,42 sqm,Fully Furnished,296,2024-10-26
Condominium • Makati,"One Central, Salcedo Village, Makati","Php 7,500,000",https://www.hoppler.com.ph/makati-salcedo-village-one-central-rs4602581,Available,"August 5, 2022",1,1,1,32 sqm,Fully Furnished,297,2024-10-26
Condominium • Makati,"Two Central, Salcedo Village, Makati","Php 13,800,000",https://www.hoppler.com.ph/makati-salcedo-village-two-central-rs3905481,Available,"July 29, 2022",1,2,1,62 sqm,Fully Furnished,298,2024-10-26
Condominium • Makati,"Senta, Legazpi Village, Makati","Php 50,000,000",https://www.hoppler.com.ph/makati-legaspi-village-senta-rs2182281,Available,"July 25, 2022",3,4,3,189 sqm,Semi-Furnished,299,2024-10-26
Condominium • Makati,"Tower 3, San Lorenzo Place, San Lorenzo Village, Makati","Php 6,500,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-san-lorenzo-place-rs4287981,Available,"August 11, 2022",1,1,1,38 sqm,Semi-Furnished,300,2024-10-26
Condominium • Makati,"The Knightsbridge Residences, Poblacion, Makati","Php 4,300,000",https://www.hoppler.com.ph/makati-poblacion-the-knightsbridge-residences-rs4557681,Available,"July 27, 2022",1,1,1,27 sqm,Fully Furnished,301,2024-10-26
Condominium • Makati,"Antel Spa Residences, Poblacion, Makati","Php 3,650,000",https://www.hoppler.com.ph/makati-poblacion-antel-spa-residences-rs4029381,Available,"July 27, 2022",1,1,1,24 sqm,Fully Furnished,302,2024-10-26
Condominium • Makati,"The Proscenium Residences Tower, The Proscenium Residences, Rockwell Center, Makati","Php 43,750,000",https://www.hoppler.com.ph/makati-rockwell-center-the-proscenium-residences-rs4608081,Available,"August 15, 2022",2,2,2,121 sqm,,303,2024-10-26
Condominium • Makati,"Tower 1, Avida Towers San Lorenzo, Pio del Pilar, Makati","Php 3,800,000",https://www.hoppler.com.ph/makati-pio-del-pilar-avida-towers-san-lorenzo-rs4560981,Available,"July 27, 2022",1,1,1,21 sqm,Semi-Furnished,304,2024-10-26
Condominium • Makati,"Tower 3, The Lerato, Bel-Air Village, Makati","Php 6,800,000",https://www.hoppler.com.ph/makati-bel-air-village-the-lerato-rs4608581,Available,"August 16, 2022",1,1,1,30 sqm,Semi-Furnished,305,2024-10-26
Condominium • Makati,"San Lorenzo Tower, The Residences at Greenbelt, Legazpi Village, Makati","Php 49,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-residences-at-greenbelt-rs4610081,Available,"August 22, 2022",3,3,2,147 sqm,Fully Furnished,306,2024-10-26
Condominium • Makati,"Tower 2, The Shang Grand Tower, Legazpi Village, Makati","Php 36,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-shang-grand-tower-rs4616381,Available,"August 30, 2022",2,2,1,131 sqm,Fully Furnished,307,2024-10-26
Condominium • Makati,"Tower D, Jazz Residences, Bel-Air Village, Makati","Php 4,500,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs3958381,Available,"August 27, 2022",1,1,1,26 sqm,Fully Furnished,308,2024-10-26
Condominium • Makati,"Antel Serenity Tower, Poblacion, Makati","Php 23,000,000",https://www.hoppler.com.ph/makati-poblacion-antel-serenity-tower-rs4563081,Available,"May 19, 2022",2,3,2,114 sqm,Fully Furnished,309,2024-10-26
Condominium • Makati,"Tower 2, The Shang Grand Tower, Legazpi Village, Makati","Php 38,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-shang-grand-tower-rs4616681,Available,"August 30, 2022",2,2,2,135 sqm,Fully Furnished,310,2024-10-26
Condominium • Makati,"The Milano Residences, Poblacion, Makati","Php 5,700,000",https://www.hoppler.com.ph/makati-poblacion-the-milano-residences-rs3796781,Available,"August 27, 2022",1,1,1,28 sqm,Fully Furnished,311,2024-10-26
Condominium • Makati,"San Lorenzo Tower, The Residences at Greenbelt, Legazpi Village, Makati","Php 37,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-residences-at-greenbelt-rs4614881,Available,"August 29, 2022",2,3,1,111 sqm,Fully Furnished,312,2024-10-26
Condominium • Makati,"Trump Tower Manila, Poblacion, Makati","Php 85,000,000",https://www.hoppler.com.ph/makati-poblacion-trump-tower-manila-rs3511981,Available,"August 27, 2022",4,5,1,269 sqm,,313,2024-10-26
Condominium • Makati,"Eton Tower, Legazpi Village, Makati","Php 10,250,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-tower-rs4164281,Available,"May 27, 2022",2,1,2,51 sqm,,314,2024-10-26
Condominium • Makati,"Eton Tower, Legazpi Village, Makati","Php 6,000,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-tower-rs4468681,Available,"May 27, 2022",1,1,1,27 sqm,Fully Furnished,315,2024-10-26
Condominium • Makati,"Westgate Plaza  Tower, Westgate Plaza, Salcedo Village, Makati","Php 18,000,000",https://www.hoppler.com.ph/makati-salcedo-village-westgate-plaza-rs4574981,Available,"June 13, 2022",3,1,2,124 sqm,Fully Furnished,316,2024-10-26
Condominium • Makati,"Tower 1, SMDC Air Residences, San Antonio Village, Makati","Php 7,300,000",https://www.hoppler.com.ph/makati-san-antonio-village-smdc-air-residences-rs4165281,Available,"June 13, 2022",1,1,1,26 sqm,Fully Furnished,317,2024-10-26
Condominium • Makati,"Senta, Legazpi Village, Makati","Php 18,500,000",https://www.hoppler.com.ph/makati-legaspi-village-senta-rs4090581,Available,"June 9, 2022",2,1,1,62 sqm,Fully Furnished,318,2024-10-26
Condominium • Makati,"Avida Towers Makati West, San Antonio Village, Makati","Php 5,500,000",https://www.hoppler.com.ph/makati-san-antonio-village-avida-towers-makati-west-rs4570081,Available,"June 5, 2022",1,1,1,33 sqm,Fully Furnished,319,2024-10-26
Condominium • Makati,"The Proscenium Rockwell Tower, Proscenium at Rockwell, Rockwell Center, Makati","Php 48,000,000",https://www.hoppler.com.ph/makati-rockwell-center-proscenium-at-rockwell-rs4567581,Available,"May 30, 2022",3,3,3,147 sqm,,320,2024-10-26
Condominium • Makati,"Three Central Tower, Three Central, Salcedo Village, Makati","Php 10,500,000",https://www.hoppler.com.ph/makati-salcedo-village-three-central-rs4195881,Available,"May 30, 2022",1,1,1,44 sqm,Semi-Furnished,321,2024-10-26
Condominium • Makati,"Arnaiz Tower, The Beacon, Legazpi Village, Makati","Php 7,350,000",https://www.hoppler.com.ph/makati-legaspi-village-the-beacon-rs4574581,Available,"June 14, 2022",1,2,1,42 sqm,Fully Furnished,322,2024-10-26
Condominium • Makati,"Tower 2, The Grand Midori Makati, Legazpi Village, Makati","Php 25,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-grand-midori-makati-rs4576481,Available,"June 14, 2022",2,2,1,91 sqm,Semi-Furnished,323,2024-10-26
Condominium • Makati,"Point Tower, Park Terraces, San Lorenzo Village, Makati","Php 23,500,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4077881,Available,"June 22, 2022",1,1,1,79 sqm,Fully Furnished,324,2024-10-26
Condominium • Makati,"West Wing Tower, The Rise Makati, San Antonio Village, Makati","Php 5,500,000",https://www.hoppler.com.ph/makati-san-antonio-village-the-rise-makati-rs4582581,Available,"June 26, 2022",1,1,1,26 sqm,Fully Furnished,325,2024-10-26
Condominium • Makati,"The Proscenium Residences  Tower, The Proscenium Residences, Rockwell Center, Makati","Php 39,000,000",https://www.hoppler.com.ph/makati-rockwell-center-the-proscenium-residences-rs4580481,Available,"June 22, 2022",2,2,1,121 sqm,Semi-Furnished,326,2024-10-26
Condominium • Makati,"Lorraine at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 160,000,000",https://www.hoppler.com.ph/makati-rockwell-center-lorraine-at-the-proscenium-rockwell-center-rs4399781,Available,"May 18, 2022",4,4,3,394 sqm,Semi-Furnished,327,2024-10-26
Condominium • Makati,"Kroma Tower, Kroma Tower, Legazpi Village, Makati","Php 15,000,000",https://www.hoppler.com.ph/makati-legaspi-village-kroma-tower-rs4402081,Available,"March 22, 2022",1,1,1,54 sqm,Fully Furnished,328,2024-10-26
Condominium • Makati,"Eton Residences, Legazpi Village, Makati","Php 12,000,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-residences-rs3804081,Available,"July 4, 2022",1,1,1,47 sqm,Fully Furnished,329,2024-10-26
Condominium • Makati,"Tower 2, Avida Towers San Lorenzo, Pio del Pilar, Makati","Php 3,300,000",https://www.hoppler.com.ph/makati-pio-del-pilar-avida-towers-san-lorenzo-rs4529781,Available,"June 29, 2022",1,1,1,22 sqm,Semi-Furnished,330,2024-10-26
Condominium • Makati,"Tower 2, The Beacon, Legazpi Village, Makati","Php 3,500,000",https://www.hoppler.com.ph/makati-legaspi-village-the-beacon-rs3428981,Available,"July 4, 2022",1,1,1,21 sqm,Fully Furnished,331,2024-10-26
Condominium • Makati,"Fraser Place, Salcedo Village, Makati","Php 130,000,000",https://www.hoppler.com.ph/makati-salcedo-village-fraser-place-rs0142481,Available,"March 22, 2022",4,4,3,531 sqm,Fully Furnished,332,2024-10-26
Condominium • Makati,"Grand Soho Makati, Salcedo Village, Makati","Php 7,600,000",https://www.hoppler.com.ph/makati-salcedo-village-grand-soho-makati-rs4538681,Available,"April 11, 2022",1,1,1,46 sqm,Fully Furnished,333,2024-10-26
Condominium • Makati,"Point Tower, Park Terraces, San Lorenzo Village, Makati","Php 23,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4077681,Available,"April 8, 2022",1,1,1,72 sqm,Fully Furnished,334,2024-10-26
Condominium • Makati,"Perla Mansion, Legazpi Village, Makati","Php 6,000,000",https://www.hoppler.com.ph/makati-legaspi-village-perla-mansion-rs4510381,Available,"April 13, 2022",1,1,1,30 sqm,Fully Furnished,335,2024-10-26
Condominium • Makati,"East Tower, One Rockwell, Rockwell Center, Makati","Php 33,500,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs4538881,Available,"April 11, 2022",2,2,2,125 sqm,Fully Furnished,336,2024-10-26
Condominium • Makati,"Edades Tower and Garden Villas, Rockwell Center, Makati","Php 47,000,000",https://www.hoppler.com.ph/makati-rockwell-center-edades-tower-and-garden-villas-rs4017381,Available,"April 16, 2022",1,2,1,96 sqm,Fully Furnished,337,2024-10-26
Condominium • Makati,"The Shang Grand Tower, Legazpi Village, Makati","Php 40,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-shang-grand-tower-rs4542181,Available,"April 18, 2022",2,2,1,164 sqm,Fully Furnished,338,2024-10-26
Condominium • Makati,"Fraser Place, Salcedo Village, Makati","Php 130,000,000",https://www.hoppler.com.ph/makati-salcedo-village-fraser-place-rs2211681,Available,"March 25, 2022",4,5,4,531 sqm,Fully Furnished,339,2024-10-26
Condominium • Makati,"Tower 1, Park Terraces, San Lorenzo Village, Makati","Php 27,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4537681,Available,"April 18, 2022",1,1,1,88 sqm,Fully Furnished,340,2024-10-26
Condominium • Makati,"One Lafayette Square, Salcedo Village, Makati","Php 24,500,000",https://www.hoppler.com.ph/makati-salcedo-village-one-lafayette-square-rs4350281,Available,"April 19, 2022",3,3,2,159 sqm,Semi-Furnished,341,2024-10-26
Condominium • Makati,"Point Tower, Park Terraces, San Lorenzo Village, Makati","Php 28,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs2686381,Available,"April 18, 2022",1,1,1,83 sqm,Fully Furnished,342,2024-10-26
Condominium • Makati,"Antel Platinum Tower, Salcedo Village, Makati","Php 6,750,000",https://www.hoppler.com.ph/makati-salcedo-village-antel-platinum-tower-rs4550481,Available,"April 29, 2022",1,1,1,40 sqm,Fully Furnished,343,2024-10-26
Condominium • Makati,"The Proscenium Residences, Rockwell Center, Makati","Php 38,500,000",https://www.hoppler.com.ph/makati-rockwell-center-the-proscenium-residences-rs4552581,Available,"May 2, 2022",2,2,2,121 sqm,,344,2024-10-26
Condominium • Makati,"Easton Place, Salcedo Village, Makati","Php 24,000,000",https://www.hoppler.com.ph/makati-salcedo-village-easton-place-rs4527381,Available,"April 19, 2022",2,2,1,123 sqm,Fully Furnished,345,2024-10-26
Condominium • Makati,"Air Residences, San Antonio Village, Makati","Php 4,500,000",https://www.hoppler.com.ph/makati-san-antonio-village-air-residences-rs4551281,Available,"May 2, 2022",1,1,1,26 sqm,Semi-Furnished,346,2024-10-26
Condominium • Makati,"Greenbelt Excelsior, Legazpi Village, Makati","Php 5,500,000",https://www.hoppler.com.ph/makati-legaspi-village-greenbelt-excelsior-rs4496781,Available,"April 21, 2022",1,1,1,36 sqm,Fully Furnished,347,2024-10-26
Condominium • Makati,"Lotus Tower, Oriental Garden Makati, Pio del Pilar, Makati","Php 6,000,000",https://www.hoppler.com.ph/makati-pio-del-pilar-oriental-garden-makati-rs4224981,Available,"January 19, 2022",1,1,1,45 sqm,Semi-Furnished,348,2024-10-26
Condominium • Makati,"Tower 1, Avida Towers Asten, San Antonio Village, Makati","Php 11,000,000",https://www.hoppler.com.ph/makati-san-antonio-village-avida-towers-asten-rs4481781,Available,"January 19, 2022",2,2,2,61 sqm,Semi-Furnished,349,2024-10-26
Condominium • Makati,"Tower 3, Cityland Dela Rosa Condominium, Pio del Pilar, Makati","Php 8,880,000",https://www.hoppler.com.ph/makati-pio-del-pilar-cityland-dela-rosa-condominium-rs4486681,Available,"January 24, 2022",2,2,2,68 sqm,Fully Furnished,350,2024-10-26
Condominium • Makati,"The Manansala, Rockwell Center, Makati","Php 17,500,000",https://www.hoppler.com.ph/makati-rockwell-center-the-manansala-rs4482081,Available,"January 20, 2022",1,1,1,66 sqm,Fully Furnished,351,2024-10-26
Condominium • Makati,"Le Domaine, Salcedo Village, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-salcedo-village-le-domaine-rs4486281,Available,"January 24, 2022",1,1,1,60 sqm,Fully Furnished,352,2024-10-26
Condominium • Makati,"Shang Salcedo Place, Salcedo Village, Makati","Php 14,000,000",https://www.hoppler.com.ph/makati-salcedo-village-shang-salcedo-place-rs4251481,Available,"February 10, 2022",1,1,1,36 sqm,Fully Furnished,353,2024-10-26
Condominium • Makati,"Senta Tower, Senta, Legazpi Village, Makati","Php 29,000,000",https://www.hoppler.com.ph/makati-legaspi-village-senta-rs3473981,Available,"February 3, 2022",2,2,1,81 sqm,Fully Furnished,354,2024-10-26
Condominium • Makati,"Tower 2, Paseo Parkview Suites, Salcedo Village, Makati","Php 7,000,000",https://www.hoppler.com.ph/makati-salcedo-village-paseo-parkview-suites-rs4452181,Available,"February 11, 2022",1,1,1,37 sqm,Fully Furnished,355,2024-10-26
Condominium • Makati,"North Tower, Joya Lofts and Towers, Rockwell Center, Makati","Php 30,000,000",https://www.hoppler.com.ph/makati-rockwell-center-joya-lofts-and-towers-rs4451781,Available,"February 9, 2022",2,2,1,120 sqm,Fully Furnished,356,2024-10-26
Condominium • Makati,"Sakura at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 50,000,000",https://www.hoppler.com.ph/makati-rockwell-center-sakura-at-the-proscenium-rockwell-center-rs4489181,Available,"January 27, 2022",2,2,1,162 sqm,Fully Furnished,357,2024-10-26
Condominium • Makati,"Mosaic Tower, KL Tower, Legazpi Village, Makati","Php 6,105,000",https://www.hoppler.com.ph/makati-legaspi-village-kl-tower-rs4506181,Available,"February 16, 2022",1,1,1,21 sqm,Fully Furnished,358,2024-10-26
Condominium • Makati,"Eton Parkview, Legazpi Village, Makati","Php 12,000,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-parkview-rs3961081,Available,"March 2, 2022",1,1,1,48 sqm,Fully Furnished,359,2024-10-26
Condominium • Makati,"West Tower, One Rockwell, Rockwell Center, Makati","Php 33,000,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs4515981,Available,"March 3, 2022",2,2,2,98 sqm,Fully Furnished,360,2024-10-26
Condominium • Makati,"Edades Tower and Garden Villas, Rockwell Center, Makati","Php 20,000,000",https://www.hoppler.com.ph/makati-rockwell-center-edades-tower-and-garden-villas-rs3581481,Available,"March 4, 2022",1,1,1,67 sqm,Fully Furnished,361,2024-10-26
Condominium • Makati,"Eton Residences, Legazpi Village, Makati","Php 33,000,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-residences-rs4518781,Available,"March 9, 2022",2,2,1,127 sqm,Fully Furnished,362,2024-10-26
Condominium • Makati,"West Tower, One Rockwell, Rockwell Center, Makati","Php 19,000,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs4464381,Available,"March 9, 2022",1,1,1,70 sqm,Fully Furnished,363,2024-10-26
Condominium • Makati,"The Ritz Tower, The Ritz Towers, Urdaneta Village, Makati","Php 45,000,000",https://www.hoppler.com.ph/makati-urdaneta-village-the-ritz-towers-rs3955281,Available,"March 21, 2024",3,3,1,267 sqm,,364,2024-10-26
Condominium • Makati,"Kirov Tower, Proscenium at Rockwell, Rockwell Center, Makati","Php 75,000,000",https://www.hoppler.com.ph/makati-rockwell-center-proscenium-at-rockwell-rs3522281,Available,"March 8, 2022",3,4,2,224 sqm,,365,2024-10-26
Condominium • Makati,"Manila Tower, The Residences at Greenbelt, Legazpi Village, Makati","Php 38,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-residences-at-greenbelt-rs4865581,Available,"March 15, 2024",2,2,2,119 sqm,Semi-Furnished,366,2024-10-26
Condominium • Makati,"South Tower, Park Central Towers, Urdaneta Village, Makati","Php 87,560,000",https://www.hoppler.com.ph/makati-urdaneta-village-park-central-towers-rs4365881,Available,"February 23, 2024",2,2,2,199 sqm,,367,2024-10-26
Condominium • Makati,"Cityland Pasong Tamo, Pio del Pilar, Makati","Php 12,500,000",https://www.hoppler.com.ph/makati-pio-del-pilar-cityland-pasong-tamo-rs4854481,Available,"February 7, 2024",3,3,3,116 sqm,,368,2024-10-26
Condominium • Makati,"Tower 1, The Salcedo Park, Salcedo Village, Makati","Php 37,000,000",https://www.hoppler.com.ph/makati-salcedo-village-the-salcedo-park-rs4632681,Available,"April 17, 2024",3,3,1,180 sqm,,369,2024-10-26
Condominium • Makati,"Ponte Salcedo, Salcedo Village, Makati","Php 45,000,000",https://www.hoppler.com.ph/makati-salcedo-village-ponte-salcedo-rs3996381,Available,"May 8, 2024",3,4,2,285 sqm,Semi-Furnished,370,2024-10-26
Condominium • Makati,"The Renaissance Building, Legazpi Village, Makati","Php 25,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-renaissance-building-rs4925881,Available,"October 2, 2024",3,2,1,146 sqm,Semi-Furnished,371,2024-10-26
Condominium • Makati,"North Tower, The Rise Makati, San Antonio Village, Makati","Php 23,020,500",https://www.hoppler.com.ph/makati-san-antonio-village-the-rise-makati-rs4922181,Available,"September 10, 2024",2,2,1,75 sqm,,372,2024-10-26
Condominium • Makati,"The Shang Grand Tower, Legazpi Village, Makati","Php 60,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-shang-grand-tower-rs4873681,Available,"July 8, 2024",3,3,1,237 sqm,Semi-Furnished,373,2024-10-26
Condominium • Makati,"East Tower, One Rockwell, Rockwell Center, Makati","Php 45,000,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs4917581,Available,"August 26, 2024",2,2,1,131 sqm,Fully Furnished,374,2024-10-26
Condominium • Makati,"The Balmori Suites, Rockwell Center, Makati","Php 175,000,000",https://www.hoppler.com.ph/makati-rockwell-center-the-balmori-suites-rs4826581,Available,"August 20, 2024",3,4,2,232 sqm,Semi-Furnished,375,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 55,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4866581,Available,"July 1, 2024",2,2,1,138 sqm,Fully Furnished,376,2024-10-26
Condominium • Makati,"BSA Twin Towers, Legazpi Village, Makati","Php 5,000,000",https://www.hoppler.com.ph/makati-legaspi-village-bsa-twin-towers-rs4898581,Available,"June 18, 2024",1,1,1,36 sqm,Fully Furnished,377,2024-10-26
Condominium • Makati,"Tower B, The Salcedo Park, Salcedo Village, Makati","Php 32,000,000",https://www.hoppler.com.ph/makati-salcedo-village-the-salcedo-park-rs4930381,Available,"October 9, 2024",3,4,2,179 sqm,Fully Furnished,378,2024-10-26
Condominium • Makati,"Tower 2, Garden Towers, Legazpi Village, Makati","Php 45,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4912581,Available,"October 23, 2024",2,2,1,138 sqm,Fully Furnished,379,2024-10-26
Condominium • Makati,"The Milano Residences, Poblacion, Makati","Php 36,000,000",https://www.hoppler.com.ph/makati-poblacion-the-milano-residences-rs4322881,Available,"January 5, 2022",3,3,1,118 sqm,Fully Furnished,380,2024-10-26
Condominium • Makati,"Tower 2, The Shang Grand Tower, Legazpi Village, Makati","Php 45,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-shang-grand-tower-rs4473981,Available,"January 6, 2022",2,1,1,149 sqm,Fully Furnished,381,2024-10-26
Condominium • Makati,"Trump Tower Manila, Poblacion, Makati","Php 50,000,000",https://www.hoppler.com.ph/makati-poblacion-trump-tower-manila-rs4048581,Available,"January 13, 2022",2,3,1,161 sqm,Fully Furnished,382,2024-10-26
Condominium • Makati,"Trump Tower Manila, Poblacion, Makati","Php 17,000,000",https://www.hoppler.com.ph/makati-poblacion-trump-tower-manila-rs4685181,Available,"January 25, 2023",1,1,1,55 sqm,Fully Furnished,383,2024-10-26
Condominium • Makati,"Proscenium at Rockwell, Rockwell Center, Makati","Php 11,990,000",https://www.hoppler.com.ph/makati-rockwell-center-proscenium-at-rockwell-rs4470181,Available,"January 4, 2022",1,1,1,29 sqm,,384,2024-10-26
Condominium • Makati,"Salcedo Skysuites, Salcedo Village, Makati","Php 8,900,000",https://www.hoppler.com.ph/makati-salcedo-village-salcedo-skysuites-rs4476381,Available,"January 13, 2022",1,1,1,36 sqm,Fully Furnished,385,2024-10-26
Condominium • Makati,"Tower 2, Park Terraces, San Lorenzo Village, Makati","Php 13,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4063181,Available,"January 2, 2023",1,1,1,40 sqm,,386,2024-10-26
Condominium • Makati,"Eton Tower, Legazpi Village, Makati","Php 4,000,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-tower-rs4478981,Available,"January 14, 2022",1,1,1,22 sqm,Fully Furnished,387,2024-10-26
Condominium • Makati,"Kroma Tower, Kroma Tower, Legazpi Village, Makati","Php 13,500,000",https://www.hoppler.com.ph/makati-legaspi-village-kroma-tower-rs4695081,Available,"February 13, 2023",1,1,1,54 sqm,Fully Furnished,388,2024-10-26
Condominium • Makati,"Air residence Tower, Air Residences, San Antonio Village, Makati","Php 6,700,000",https://www.hoppler.com.ph/makati-san-antonio-village-air-residences-rs4695181,Available,"February 13, 2023",1,1,1,26 sqm,Semi-Furnished,389,2024-10-26
Condominium • Makati,"Two Central, Salcedo Village, Makati","Php 16,000,000",https://www.hoppler.com.ph/makati-salcedo-village-two-central-rs4774381,Available,"July 19, 2023",1,2,1,59 sqm,Semi-Furnished,390,2024-10-26
Condominium • Makati,"San Antonio Residences Tower, San Antonio Residence, San Antonio Village, Makati","Php 3,900,000",https://www.hoppler.com.ph/makati-san-antonio-village-san-antonio-residence-rs4706681,Available,"May 10, 2023",1,1,1,26 sqm,,391,2024-10-26
Condominium • Makati,"Kirov at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 84,000,000",https://www.hoppler.com.ph/makati-rockwell-center-kirov-at-the-proscenium-rockwell-center-rs4770181,Available,"July 12, 2023",3,3,2,241 sqm,Semi-Furnished,392,2024-10-26
Condominium • Makati,"Tower A, The Ritz Towers, Urdaneta Village, Makati","Php 56,000,000",https://www.hoppler.com.ph/makati-urdaneta-village-the-ritz-towers-rs4722381,Available,"March 30, 2023",3,4,2,264 sqm,,393,2024-10-26
Condominium • Makati,"San Antonio Residences Tower, San Antonio Residence, San Antonio Village, Makati","Php 3,900,000",https://www.hoppler.com.ph/makati-san-antonio-village-san-antonio-residence-rs4706581,Available,"May 6, 2023",1,1,1,26 sqm,,394,2024-10-26
Condominium • Makati,"Lincoln at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 48,000,000",https://www.hoppler.com.ph/makati-rockwell-center-lincoln-at-the-proscenium-rockwell-center-rs4749881,Available,"June 3, 2023",2,2,1,118 sqm,Fully Furnished,395,2024-10-26
Condominium • Makati,"Fraser Place, Salcedo Village, Makati","Php 40,000,000",https://www.hoppler.com.ph/makati-salcedo-village-fraser-place-rs4795381,Available,"September 14, 2023",3,3,3,4 sqm,Fully Furnished,396,2024-10-26
Condominium • Makati,"Solstice Tower 1, Solstice, Carmona, Makati","Php 15,000,000",https://www.hoppler.com.ph/makati-carmona-solstice-rs4790581,Available,"October 9, 2023",1,1,1,59 sqm,Fully Furnished,397,2024-10-26
Condominium • Makati,"Tower 2, Garden Towers, Legazpi Village, Makati","Php 48,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4813081,Available,"October 18, 2023",2,2,2,138 sqm,Semi-Furnished,398,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 43,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4814081,Available,"October 20, 2023",2,2,2,137 sqm,Semi-Furnished,399,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 43,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4814181,Available,"October 20, 2023",2,2,2,137 sqm,Semi-Furnished,400,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 43,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4814281,Available,"October 20, 2023",2,2,2,137 sqm,Semi-Furnished,401,2024-10-26
Condominium • Makati,"One Lafayette Tower, One Lafayette Square, Salcedo Village, Makati","Php 17,500,000",https://www.hoppler.com.ph/makati-salcedo-village-one-lafayette-square-rs4768581,Available,"November 6, 2023",2,2,1,98 sqm,,402,2024-10-26
Condominium • Makati,"Easton Place, Salcedo Village, Makati","Php 27,000,000",https://www.hoppler.com.ph/makati-salcedo-village-easton-place-rs4811681,Available,"December 4, 2023",2,3,1,123 sqm,Fully Furnished,403,2024-10-26
Condominium • Makati,"Tower 2, Garden Towers, Legazpi Village, Makati","Php 50,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4843581,Available,"January 19, 2024",2,2,1,141 sqm,,404,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 43,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4814381,Available,"October 20, 2023",2,2,2,137 sqm,Semi-Furnished,405,2024-10-26
Condominium • Makati,"Edades Tower, Edades Tower and Garden Villas, Rockwell Center, Makati","Php 68,000,000",https://www.hoppler.com.ph/makati-rockwell-center-edades-tower-and-garden-villas-rs4835081,Available,"December 12, 2023",2,2,2,162 sqm,Semi-Furnished,406,2024-10-26
Condominium • Makati,"Tower 2, Park Terraces, San Lorenzo Village, Makati","Php 40,500,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4843681,Available,"January 19, 2024",2,2,2,110 sqm,Fully Furnished,407,2024-10-26
